name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,log_kms_driven
Bajaj CT 110,20000,9,1,0,25000,87958.71405750798,10.12667110305036
Hero Passion PRO i3s,50000,7,1,0,41000,56925.0,10.62135173563291
KTM RC 390,210000,7,1,0,12000,87958.71405750798,9.392745258631441
Bajaj Pulsar 220F,70000,6,1,0,33000,87958.71405750798,10.404293143019792
Hero Maestro Edge,40000,7,1,0,15000,55980.0,9.61587214452889
Bajaj Xcd,10000,16,1,0,50000,87958.71405750798,10.819798284210286
Bajaj Pulsar 150,35000,14,1,0,40000,87958.71405750798,10.596659732783579
TVS Centra,10000,19,1,0,50000,87958.71405750798,10.819798284210286
Honda Activa 3G,42000,9,1,0,20000,54605.0,9.90353755128617
Yamaha FZ16,20000,15,1,0,50000,78712.0,10.819798284210286
Hero Maestro Edge,25000,7,1,0,55000,52790.0,10.915106645867503
Bajaj Discover 125,25000,8,1,0,70350,60122.0,11.161252277082589
Royal Enfield Thunderbird 350X,145000,5,1,0,2700,164004.0,7.901377353792616
Hero Super Splendor,50000,8,1,0,20000,87958.71405750798,9.90353755128617
TVS Scooty Pep Plus,30000,13,1,0,20000,87958.71405750798,9.90353755128617
Yamaha FZ V 2.0,60000,10,1,0,41311,81508.0,10.628908293646369
Hero Honda Splendor Plus,15000,19,1,0,65000,87958.71405750798,11.082157933374816
Hero CD Deluxe,15000,10,1,0,34000,87958.71405750798,10.434145214930487
Hero Honda Passion PRO [2012],25000,13,1,0,20000,87958.71405750798,9.90353755128617
Hero HF Deluxe i3s,54000,5,1,0,11000,87958.71405750798,9.305741456739435
Bajaj Xcd,25000,17,1,0,75000,87958.71405750798,11.225256725762893
Royal Enfield Interceptor 650,260000,5,1,0,1200,87958.71405750798,7.0909098220799835
Honda CBR-250R,100000,10,1,0,19000,199275.0,9.852246888342531
Bajaj Kristal,15000,17,1,0,30000,87958.71405750798,10.308985993422082
Hero Honda Splendor Plus,20000,18,1,0,23000,87958.71405750798,10.043292972227004
Honda Dream Yuga,35000,10,1,0,10000,56147.0,9.210440366976517
Yamaha FZ S V 2.0,50000,8,1,0,40000,87042.0,10.596659732783579
Hero Xpulse 200,90000,5,1,0,8600,107500.0,9.059633754551479
Bajaj V15,40000,8,1,0,45000,67187.0,10.714439990727769
Bajaj Avenger Street 220,80000,8,1,0,7200,95955.0,8.881975184248867
Bajaj Discover 135,20000,14,1,0,31195,87958.71405750798,10.348045160450388
Honda CB Unicorn 150,70000,7,1,0,18000,74295.0,9.798182590890704
Vespa SXL 149,98000,5,1,0,1000,87958.71405750798,6.90875477931522
Royal Enfield Machismo,75000,16,1,0,17000,87958.71405750798,9.741027444837728
Honda CB Shine SP,50000,8,1,0,46000,67214.0,10.736418414365376
Honda CB Unicorn 150,40000,10,1,0,77592,74295.0,11.25923249591692
Honda CB Unicorn 150,75000,11,1,0,54000,74295.0,10.896757843893464
Honda CB Unicorn 150,50000,11,1,0,17000,74295.0,9.741027444837728
Bajaj Pulsar 150,60000,10,1,0,60000,87958.71405750798,11.002116507732017
